scenario,description,metric,baseline,candidate,status,num_queries,baseline_mean,baseline_ci_low,baseline_ci_high,candidate_mean,candidate_ci_low,candidate_ci_high,delta_mean,delta_ci_low,delta_ci_high,delta_ci_excludes_zero,improved_queries,worsened_queries,tied_queries
candidate_reranker_heldout,LoCoMo10 held-out query split：学习式 candidate reranker 相对 type-aware 的主结果稳定性。,mrr,type_aware,candidate_reranker,ok,2760,0.6067091309512946,0.5911788108564939,0.6220956748150834,0.6605859366363394,0.6456666264415006,0.6749921247364883,0.05387680568504464,0.045876704779425403,0.06184926866602846,True,691,498,1571
candidate_reranker_heldout,LoCoMo10 held-out query split：学习式 candidate reranker 相对 type-aware 的主结果稳定性。,recall@1,type_aware,candidate_reranker,ok,2760,0.4989130434782609,0.4797101449275362,0.5177536231884058,0.5557971014492754,0.5373188405797101,0.5746376811594203,0.05688405797101449,0.04528985507246375,0.06812499999999994,True,214,57,2489
candidate_reranker_heldout,LoCoMo10 held-out query split：学习式 candidate reranker 相对 type-aware 的主结果稳定性。,recall@3,type_aware,candidate_reranker,ok,2760,0.6695652173913044,0.6514492753623189,0.6873188405797102,0.7322463768115942,0.715570652173913,0.7485507246376811,0.06268115942028986,0.050362318840579734,0.07463768115942027,True,238,65,2457
candidate_reranker_heldout,LoCoMo10 held-out query split：学习式 candidate reranker 相对 type-aware 的主结果稳定性。,recall@5,type_aware,candidate_reranker,ok,2760,0.7333333333333333,0.7170289855072464,0.7496376811594203,0.7956521739130434,0.7800724637681159,0.8105072463768116,0.06231884057971015,0.050000000000000044,0.07499999999999996,True,241,69,2450
candidate_reranker_loco,Leave-one-conversation-out split：检验 candidate reranker 是否能跨 conversation 泛化。,mrr,type_aware,candidate_reranker_loco,ok,1838,0.6093848002850233,0.5906724637429192,0.6289002474701477,0.6597850929021615,0.6415538907597224,0.6781588608621019,0.05040029261713818,0.040899217688918056,0.06000673631834812,True,447,340,1051
candidate_reranker_loco,Leave-one-conversation-out split：检验 candidate reranker 是否能跨 conversation 泛化。,recall@1,type_aware,candidate_reranker_loco,ok,1838,0.5032644178454843,0.4809575625680087,0.5255712731229597,0.55930359085963,0.5369967355821545,0.5821545157780196,0.05603917301414581,0.042437431991294905,0.06964091403699674,True,137,34,1667
candidate_reranker_loco,Leave-one-conversation-out split：检验 candidate reranker 是否能跨 conversation 泛化。,recall@3,type_aware,candidate_reranker_loco,ok,1838,0.6702937976060935,0.6479869423286181,0.691512513601741,0.7236126224156693,0.702924374319913,0.7437431991294886,0.05331882480957562,0.0380848748639826,0.06802230685527737,True,150,52,1636
candidate_reranker_loco,Leave-one-conversation-out split：检验 candidate reranker 是否能跨 conversation 泛化。,recall@5,type_aware,candidate_reranker_loco,ok,1838,0.7334058759521219,0.7138193688792166,0.7535364526659413,0.7856365614798694,0.7671381936887922,0.8046789989118608,0.05223068552774755,0.037540805223068574,0.06746463547334058,True,149,53,1636
candidate_reranker_intrinsic_loco,Leave-one-conversation-out split：检验 intrinsic-only candidate reranker 是否能跨 conversation 泛化。,mrr,type_aware,intrinsic_reranker_loco,ok,1838,0.6093848002850233,0.5910810235297637,0.6282071181063252,0.6660698979049504,0.6483535530543791,0.684709600655948,0.05668509761992721,0.043917514532290855,0.06961017435709282,True,497,395,946
candidate_reranker_intrinsic_loco,Leave-one-conversation-out split：检验 intrinsic-only candidate reranker 是否能跨 conversation 泛化。,recall@1,type_aware,intrinsic_reranker_loco,ok,1838,0.5032644178454843,0.4804134929270947,0.5261153427638738,0.5614798694232862,0.5391730141458106,0.5843307943416758,0.05821545157780196,0.03971708378672467,0.0761833514689879,True,206,99,1533
candidate_reranker_intrinsic_loco,Leave-one-conversation-out split：检验 intrinsic-only candidate reranker 是否能跨 conversation 泛化。,recall@3,type_aware,intrinsic_reranker_loco,ok,1838,0.6702937976060935,0.6485310119695321,0.690968443960827,0.7431991294885746,0.7230685527747552,0.7627856365614799,0.07290533188248095,0.05549510337323171,0.09085963003264419,True,210,76,1552
candidate_reranker_intrinsic_loco,Leave-one-conversation-out split：检验 intrinsic-only candidate reranker 是否能跨 conversation 泛化。,recall@5,type_aware,intrinsic_reranker_loco,ok,1838,0.7334058759521219,0.7138193688792166,0.7535364526659413,0.7992383025027203,0.7812704026115344,0.8177366702937976,0.06583242655059848,0.04896626768226331,0.0826985854189336,True,192,71,1575
candidate_reranker_intrinsic_ablation_vs_type_aware,Candidate reranker 特征组消融：intrinsic-only 变体相对 fixed type-aware 的稳定性。,mrr,type_aware,ablation_intrinsic_only,ok,2760,0.6067091309512946,0.5916242184238975,0.6220636026903842,0.6718996168287364,0.6570952269442127,0.6862084865242366,0.06519048587744175,0.05446443174372109,0.07628798444384219,True,771,591,1398
candidate_reranker_intrinsic_ablation_vs_type_aware,Candidate reranker 特征组消融：intrinsic-only 变体相对 fixed type-aware 的稳定性。,recall@1,type_aware,ablation_intrinsic_only,ok,2760,0.4989130434782609,0.4797101449275362,0.5173913043478261,0.5684782608695652,0.5499909420289856,0.5865942028985507,0.06956521739130435,0.05434782608695654,0.08514492753623193,True,342,150,2268
candidate_reranker_intrinsic_ablation_vs_type_aware,Candidate reranker 特征组消融：intrinsic-only 变体相对 fixed type-aware 的稳定性。,recall@3,type_aware,ablation_intrinsic_only,ok,2760,0.6695652173913044,0.6521739130434783,0.6873188405797102,0.7463768115942029,0.730072463768116,0.7623188405797101,0.07681159420289856,0.06304347826086965,0.09094202898550718,True,311,99,2350
candidate_reranker_intrinsic_ablation_vs_type_aware,Candidate reranker 特征组消融：intrinsic-only 变体相对 fixed type-aware 的稳定性。,recall@5,type_aware,ablation_intrinsic_only,ok,2760,0.7333333333333333,0.7166666666666667,0.7503623188405797,0.8014492753623188,0.7865942028985508,0.816304347826087,0.06811594202898551,0.05434782608695654,0.08152173913043481,True,280,92,2388
candidate_reranker_intrinsic_ablation_vs_full,Candidate reranker 特征组消融：intrinsic-only 变体相对 full reranker 的稳定性。,mrr,ablation_full,ablation_intrinsic_only,ok,2760,0.6605859366363394,0.6456316087163549,0.6750835557161173,0.6718996168287364,0.6571978602465729,0.6866908635899889,0.01131368019239711,0.002904585659086745,0.01985244702537796,True,502,409,1849
candidate_reranker_intrinsic_ablation_vs_full,Candidate reranker 特征组消融：intrinsic-only 变体相对 full reranker 的稳定性。,recall@1,ablation_full,ablation_intrinsic_only,ok,2760,0.5557971014492754,0.5369565217391304,0.5742753623188406,0.5684782608695652,0.55,0.5873188405797102,0.012681159420289856,-0.00036231884057968955,0.0257246376811594,False,185,150,2425
candidate_reranker_intrinsic_ablation_vs_full,Candidate reranker 特征组消融：intrinsic-only 变体相对 full reranker 的稳定性。,recall@3,ablation_full,ablation_intrinsic_only,ok,2760,0.7322463768115942,0.716304347826087,0.7489130434782609,0.7463768115942029,0.7304347826086957,0.7626811594202899,0.014130434782608696,0.0021739130434782483,0.02644927536231878,True,157,118,2485
candidate_reranker_intrinsic_ablation_vs_full,Candidate reranker 特征组消融：intrinsic-only 变体相对 full reranker 的稳定性。,recall@5,ablation_full,ablation_intrinsic_only,ok,2760,0.7956521739130434,0.7804347826086957,0.8105072463768116,0.8014492753623188,0.7869565217391304,0.8159420289855073,0.005797101449275362,-0.004710144927536189,0.016304347826086918,False,113,97,2550
validation_tuned_router,Validation-tuned intent router：可部署路由 baseline 相对固定 type-aware 的负/弱结果。,mrr,type_aware,validation_tuned_intent_router,ok,2760,0.6067091309512946,0.591246665807377,0.6222812563980589,0.6055514369351431,0.5900282187017892,0.6211700374979253,-0.0011576940161515576,-0.002121012693605301,-0.00037005000407487376,True,11,18,2731
validation_tuned_router,Validation-tuned intent router：可部署路由 baseline 相对固定 type-aware 的负/弱结果。,recall@1,type_aware,validation_tuned_intent_router,ok,2760,0.4989130434782609,0.48079710144927534,0.5173913043478261,0.497463768115942,0.47934782608695653,0.5163043478260869,-0.0014492753623188406,-0.0028985507246377384,-0.00036231884057968955,True,0,4,2756
validation_tuned_router,Validation-tuned intent router：可部署路由 baseline 相对固定 type-aware 的负/弱结果。,recall@3,type_aware,validation_tuned_intent_router,ok,2760,0.6695652173913044,0.6521739130434783,0.6866032608695651,0.6688405797101449,0.6514492753623189,0.686231884057971,-0.0007246376811594203,-0.0021739130434782483,0.0007246376811593791,False,1,3,2756
validation_tuned_router,Validation-tuned intent router：可部署路由 baseline 相对固定 type-aware 的负/弱结果。,recall@5,type_aware,validation_tuned_intent_router,ok,2760,0.7333333333333333,0.7166666666666667,0.7496376811594203,0.7326086956521739,0.716304347826087,0.7489130434782609,-0.0007246376811594203,-0.0018115942028985588,0.0,False,0,2,2758
text_intent_router,规则文本 intent router：不使用验证集调参的可解释路由 baseline。,mrr,type_aware,text_intent_router,ok,1838,0.6093848002850233,0.590391453133354,0.6284349162967586,0.5947825926683914,0.5756303969090644,0.6139604143474603,-0.014602207616631856,-0.02071807520180252,-0.008823043339511892,True,66,151,1621
text_intent_router,规则文本 intent router：不使用验证集调参的可解释路由 baseline。,recall@1,type_aware,text_intent_router,ok,1838,0.5032644178454843,0.4804134929270947,0.5261153427638738,0.4885745375408052,0.4662676822633297,0.5114390642002173,-0.014689880304679,-0.022850924918389526,-0.006528835690968514,True,15,42,1781
text_intent_router,规则文本 intent router：不使用验证集调参的可解释路由 baseline。,recall@3,type_aware,text_intent_router,ok,1838,0.6702937976060935,0.6490750816104461,0.6920565832426551,0.6605005440696409,0.6392818280739935,0.6828073993471164,-0.009793253536452665,-0.01795429815016325,-0.0010881392818280489,True,22,40,1776
