query_type,k,mean_gold,multi_evidence_share,baseline_coverage_ratio,candidate_coverage_ratio,delta_coverage_ratio,baseline_full_coverage,candidate_full_coverage,delta_full_coverage
1,1,4.0556900726392255,0.9297820823244553,0.11982633320405717,0.127873948757726,0.008047615553668841,0.009685230024213076,0.009685230024213076,0.0
1,3,4.0556900726392255,0.9297820823244553,0.23132867939163337,0.2661431855741783,0.034814506182544946,0.04600484261501211,0.06537530266343826,0.01937046004842615
1,5,4.0556900726392255,0.9297820823244553,0.30918271263307584,0.35215471910387164,0.0429720064707958,0.0774818401937046,0.1016949152542373,0.02421307506053269
1,10,4.0556900726392255,0.9297820823244553,0.4244977446551296,0.4842085678647422,0.059710823209612574,0.15254237288135594,0.16464891041162227,0.012106537530266331
1,20,4.0556900726392255,0.9297820823244553,0.539206314266847,0.625286329220954,0.086080014954107,0.22276029055690072,0.28329297820823246,0.06053268765133174
2,1,1.5600858369098713,0.39914163090128757,0.46065808297567956,0.49928469241773965,0.03862660944206009,0.34120171673819744,0.37124463519313305,0.03004291845493562
2,3,1.5600858369098713,0.39914163090128757,0.6568311874105865,0.7129828326180258,0.056151645207439205,0.5257510729613734,0.5858369098712446,0.06008583690987124
2,5,1.5600858369098713,0.39914163090128757,0.7065450643776824,0.7805793991416309,0.0740343347639485,0.5901287553648069,0.6695278969957081,0.07939914163090123
2,10,1.5600858369098713,0.39914163090128757,0.7861230329041488,0.8412017167381974,0.05507868383404868,0.6845493562231759,0.740343347639485,0.05579399141630903
2,20,1.5600858369098713,0.39914163090128757,0.8447782546494993,0.8851931330472103,0.04041487839771096,0.7532188841201717,0.7896995708154506,0.03648068669527893
3,1,2.6507936507936507,0.6746031746031746,0.16732804232804233,0.1818783068783069,0.014550264550264563,0.06349206349206349,0.07936507936507936,0.015873015873015872
3,3,2.6507936507936507,0.6746031746031746,0.3316798941798942,0.316005291005291,-0.015674603174603174,0.19047619047619047,0.1984126984126984,0.007936507936507936
3,5,2.6507936507936507,0.6746031746031746,0.37747302624753604,0.3724426807760141,-0.005030345471521924,0.23015873015873015,0.2619047619047619,0.03174603174603177
3,10,2.6507936507936507,0.6746031746031746,0.4588520593422554,0.4617582218072414,0.002906162464985984,0.31746031746031744,0.3253968253968254,0.007936507936507964
3,20,2.6507936507936507,0.6746031746031746,0.5259531590413943,0.5970795725697686,0.07112641352837434,0.373015873015873,0.4444444444444444,0.0714285714285714
4,1,1.4397810218978102,0.3403284671532847,0.4461526763990268,0.48862530413625305,0.042472627737226265,0.3476277372262774,0.38047445255474455,0.03284671532846717
4,3,1.4397810218978102,0.3403284671532847,0.6090328467153284,0.6771289537712896,0.06809610705596114,0.5045620437956204,0.5684306569343066,0.06386861313868619
4,5,1.4397810218978102,0.3403284671532847,0.6877737226277372,0.7442518248175183,0.05647810218978111,0.5866788321167883,0.6395985401459854,0.0529197080291971
4,10,1.4397810218978102,0.3403284671532847,0.767396593673966,0.8175638686131387,0.050167274939172724,0.6715328467153284,0.7226277372262774,0.051094890510948954
4,20,1.4397810218978102,0.3403284671532847,0.8425182481751825,0.8737682481751825,0.03125,0.7518248175182481,0.7928832116788321,0.04105839416058399
5,1,1.5022761760242793,0.3535660091047041,0.34046535154274155,0.4148204350025291,0.07435508345978753,0.27921092564491656,0.33839150227617604,0.059180576631259474
5,3,1.5022761760242793,0.3535660091047041,0.4979261507334345,0.5855336368234699,0.08760748609003544,0.41122913505311076,0.48710166919575115,0.07587253414264039
5,5,1.5022761760242793,0.3535660091047041,0.552250885179565,0.652250885179565,0.09999999999999998,0.47040971168437024,0.5553869499241275,0.08497723823975728
5,10,1.5022761760242793,0.3535660091047041,0.6205361659079414,0.6842690945877592,0.06373292867981784,0.5402124430955993,0.590288315629742,0.050075872534142696
5,20,1.5022761760242793,0.3535660091047041,0.6698533131006575,0.7076378351036925,0.03778452200303495,0.5796661608497724,0.6145675265553869,0.03490136570561453
