method,splits,mean_queries,mrr_mean,mrr_stdev,recall@1_mean,recall@1_stdev,recall@3_mean,recall@3_stdev,recall@5_mean,recall@5_stdev
candidate_oracle,5,552,0.9094202898550725,0.013737093195745568,0.9094202898550725,0.013737093195745568,0.9094202898550725,0.013737093195745568,0.9094202898550725,0.013737093195745568
ablation_intrinsic_only,5,552,0.6718996168287364,0.019256395803761116,0.5684782608695652,0.01965391863060219,0.7463768115942029,0.02037540195507609,0.8014492753623188,0.021686227900935415
ablation_no_keyword_features,5,552,0.6656551892053061,0.025619696243165294,0.5634057971014493,0.02812350488452903,0.7336956521739131,0.02765278536680027,0.7989130434782609,0.02565181568569983
ablation_full,5,552,0.6605859366363394,0.02834807608269672,0.5557971014492754,0.030781112644122643,0.7322463768115942,0.03511409823674881,0.7956521739130434,0.023738106275796672
ablation_no_semantic_features,5,552,0.6437895183910229,0.021691322158690227,0.5423913043478261,0.020479830088496496,0.7068840579710145,0.030914100011161676,0.7663043478260869,0.029601693185449588
ablation_no_type_persona_features,5,552,0.6403453254382759,0.028259198310752846,0.5398550724637682,0.031115152241517483,0.7039855072463769,0.031705486436819356,0.7663043478260869,0.023862209913622257
ablation_no_time_features,5,552,0.6318425881008762,0.02318441597908217,0.5257246376811594,0.02623373562205906,0.6989130434782609,0.022605037329440702,0.7655797101449275,0.026704889509479447
ablation_retrieval_rank_only,5,552,0.6147442537154411,0.02463663466357432,0.5155797101449275,0.02608318209409561,0.6710144927536231,0.03242196940315312,0.7315217391304348,0.03002550025938796
type_aware,5,552,0.6067091309512946,0.023653802906203093,0.4989130434782609,0.026395866266020276,0.6695652173913044,0.026674148288849245,0.7333333333333334,0.026851957475160858
ablation_type_aware_score_only,5,552,0.5467017976639609,0.01667208269912865,0.4514492753623188,0.02164077994060573,0.5967391304347827,0.013592993827756543,0.6626811594202898,0.010279899245732681
