feature,splits,importance_mean,importance_stdev
type_aware_score,5,0.07840818071971781,0.004128113567520247
time_aware_rr,5,0.07756668117403241,0.008288917772054595
semantic_score,5,0.077103870707009,0.001369913754564434
time_aware_score,5,0.07617933567987079,0.003981155874834387
hybrid_score,5,0.07502480651261635,0.0037185187705472272
type_aware_rr,5,0.07042068601904894,0.004461723457191118
hybrid_rr,5,0.06477155501913451,0.003256647190502239
vector_rr,5,0.06104820308308732,0.001124770362971225
vector_score,5,0.05645411374780497,0.001458857915925136
time_decay,5,0.05181043600269404,0.002030489849016805
semantic_x_keyword,5,0.03951470150568431,0.001709980762912348
query_type=1,5,0.030209143039085905,0.001643661596771923
keyword_score,5,0.02638998054715352,0.00041309706890701173
keyword_rr,5,0.023208304918614576,0.0008079585995449058
entity_score,5,0.019458865212258484,0.001689167587399434
importance_score,5,0.0173202015829149,0.0003115687766063684
query_type=4,5,0.014717561317168235,0.0007211501898473372
type_aware_present,5,0.011085992338575984,0.0017682761401484378
persona_x_type,5,0.010026938242738922,0.00023230428643469084
vector_present,5,0.009410999379561262,0.0008436355583221709
time_aware_present,5,0.009398803529712707,0.0012450770546622654
persona_weight,5,0.00921243596961775,0.0007914639898021119
persona_score,5,0.009197047494569302,0.00035529047521339193
memory_type_score,5,0.008915081307430373,0.0005091061338874716
query_type=5,5,0.008859585674186708,0.000842408557786297
memory_type=event,5,0.006501308313881272,0.00026535256687080404
query_type=3,5,0.005316678317565196,0.0007979993897342748
query_type=2,5,0.00503166069924032,0.00028121448928367657
memory_type=goal,5,0.0047470393457817155,0.00024505352077341166
hybrid_present,5,0.004472932657064544,0.000598718362154199
memory_type=hobby,5,0.00411565359192497,0.0003657203518206551
memory_type=preference,5,0.0038893128283258678,0.0002399444285321909
memory_type=relationship,5,0.003867135384797902,0.00031643943361851453
memory_type=plan,5,0.0036927207416958927,0.00020360417101813357
memory_type=work,5,0.0036383285736264243,0.0004915709741254522
memory_type=family,5,0.003380854106264539,0.00020617187658104094
keyword_present,5,0.0031585675766653285,0.0004331934774420603
recency_x_decay,5,0.002847767675269712,0.00047155573915916613
memory_type=identity,5,0.0022364752937735106,0.00037788801830960004
memory_type=emotion,5,0.0020744583532285444,0.0002076829566571382
