comparison,group,group_value,metric,pairs,baseline_mean,candidate_mean,mean_delta,stdev_delta,cohen_dz,improved_pairs,worsened_pairs,tied_pairs,positive_rate,negative_rate,tie_rate,net_positive_rate,win_loss_ratio
intrinsic_only_vs_type_aware,all,all,mrr,2760,0.6067091309512946,0.6718996168287364,0.06519048587744175,0.29184052613593325,0.22337708453512511,771,591,1398,0.2793478260869565,0.2141304347826087,0.5065217391304347,0.06521739130434782,1.3045685279187818
intrinsic_only_vs_type_aware,all,all,recall@1,2760,0.4989130434782609,0.5684782608695652,0.06956521739130435,0.4165145936982703,0.16701747896425084,342,150,2268,0.12391304347826088,0.05434782608695652,0.8217391304347826,0.06956521739130435,2.28
intrinsic_only_vs_type_aware,all,all,recall@3,2760,0.6695652173913044,0.7463768115942029,0.07681159420289856,0.37775972178686434,0.20333452661275622,311,99,2350,0.11268115942028986,0.035869565217391305,0.8514492753623188,0.07681159420289856,3.1414141414141414
intrinsic_only_vs_type_aware,all,all,recall@5,2760,0.7333333333333333,0.8014492753623188,0.06811594202898551,0.3608185103706274,0.18878172840694293,280,92,2388,0.10144927536231885,0.03333333333333333,0.8652173913043478,0.06811594202898551,3.0434782608695654
intrinsic_only_vs_type_aware,query_type,1,mrr,413,0.5084890081247944,0.5124227403418402,0.003933732217045872,0.38821525339327917,0.010132863617959977,131,159,123,0.3171912832929782,0.38498789346246975,0.29782082324455206,-0.06779661016949153,0.8238993710691824
intrinsic_only_vs_type_aware,query_type,1,recall@1,413,0.3728813559322034,0.36803874092009686,-0.004842615012106538,0.5259995449488041,-0.009206500383147428,56,58,299,0.13559322033898305,0.14043583535108958,0.7239709443099274,-0.004842615012106538,0.9655172413793104
intrinsic_only_vs_type_aware,query_type,1,recall@3,413,0.5641646489104116,0.6004842615012107,0.03631961259079903,0.5130699667723039,0.07078881038249772,62,47,304,0.15012106537530268,0.11380145278450363,0.7360774818401937,0.03631961259079903,1.3191489361702127
intrinsic_only_vs_type_aware,query_type,1,recall@5,413,0.6610169491525424,0.6924939467312349,0.031476997578692496,0.4740621785225296,0.06639845784954677,53,40,320,0.12832929782082325,0.09685230024213075,0.774818401937046,0.031476997578692496,1.325
intrinsic_only_vs_type_aware,query_type,2,mrr,466,0.7139661176444381,0.7951403418946338,0.08117422425019565,0.24636134910557955,0.329492530159055,110,44,312,0.23605150214592274,0.0944206008583691,0.6695278969957081,0.14163090128755365,2.5
intrinsic_only_vs_type_aware,query_type,2,recall@1,466,0.6137339055793991,0.7060085836909872,0.09227467811158799,0.3681753580593821,0.2506269800291882,55,12,399,0.11802575107296137,0.02575107296137339,0.8562231759656652,0.09227467811158799,4.583333333333333
intrinsic_only_vs_type_aware,query_type,2,recall@3,466,0.796137339055794,0.8583690987124464,0.06223175965665236,0.2671847613723229,0.23291657554501094,32,3,431,0.06866952789699571,0.006437768240343348,0.924892703862661,0.06223175965665236,10.666666666666666
intrinsic_only_vs_type_aware,query_type,2,recall@5,466,0.8326180257510729,0.8969957081545065,0.06437768240343347,0.2861260325653827,0.22499764116612672,35,5,426,0.07510729613733906,0.01072961373390558,0.9141630901287554,0.06437768240343347,7.0
intrinsic_only_vs_type_aware,query_type,3,mrr,126,0.4387855141986207,0.4366442911467025,-0.0021412230519182126,0.2575101979566961,-0.008315100018983671,31,54,41,0.24603174603174602,0.42857142857142855,0.3253968253968254,-0.18253968253968253,0.5740740740740741
intrinsic_only_vs_type_aware,query_type,3,recall@1,126,0.3412698412698413,0.35714285714285715,0.015873015873015872,0.33428435761493797,0.047483573524849144,8,6,112,0.06349206349206349,0.047619047619047616,0.8888888888888888,0.015873015873015872,1.3333333333333333
intrinsic_only_vs_type_aware,query_type,3,recall@3,126,0.5079365079365079,0.48412698412698413,-0.023809523809523808,0.409180365399626,-0.058188334101198225,9,12,105,0.07142857142857142,0.09523809523809523,0.8333333333333334,-0.023809523809523808,0.75
intrinsic_only_vs_type_aware,query_type,3,recall@5,126,0.5476190476190477,0.5,-0.047619047619047616,0.39713257951757835,-0.11990717980603212,7,13,106,0.05555555555555555,0.10317460317460317,0.8412698412698413,-0.047619047619047616,0.5384615384615384
intrinsic_only_vs_type_aware,query_type,4,mrr,1096,0.6669364090183056,0.7336723943196466,0.06673598530134095,0.2529687004800319,0.2638112350449014,285,158,653,0.26003649635036497,0.14416058394160583,0.5958029197080292,0.11587591240875912,1.8037974683544304
intrinsic_only_vs_type_aware,query_type,4,recall@1,1096,0.5611313868613139,0.6322992700729927,0.07116788321167883,0.36819801242768513,0.1932869836597946,116,38,942,0.10583941605839416,0.03467153284671533,0.8594890510948905,0.07116788321167883,3.0526315789473686
intrinsic_only_vs_type_aware,query_type,4,recall@3,1096,0.7171532846715328,0.8093065693430657,0.09215328467153285,0.35972150344953746,0.25617952718375736,126,25,945,0.11496350364963503,0.02281021897810219,0.8622262773722628,0.09215328467153285,5.04
intrinsic_only_vs_type_aware,query_type,4,recall@5,1096,0.7928832116788321,0.8686131386861314,0.07572992700729927,0.34813844941632605,0.21752819067892332,111,28,957,0.10127737226277372,0.025547445255474453,0.8731751824817519,0.07572992700729927,3.9642857142857144
intrinsic_only_vs_type_aware,query_type,5,mrr,659,0.5243607756823002,0.6269420736030591,0.10258129792075889,0.3097833293904515,0.3311388579966652,214,176,269,0.32473444613050073,0.26707132018209406,0.40819423368740515,0.057663125948406675,1.2159090909090908
intrinsic_only_vs_type_aware,query_type,5,recall@1,659,0.4233687405159332,0.5311077389984825,0.10773899848254932,0.4535415033935871,0.23755047261695147,107,36,516,0.16236722306525037,0.054628224582701064,0.7830045523520486,0.10773899848254932,2.9722222222222223
intrinsic_only_vs_type_aware,query_type,5,recall@3,659,0.5978755690440061,0.7040971168437026,0.1062215477996965,0.36270784137870615,0.292857048240073,82,12,565,0.1244309559939302,0.018209408194233688,0.8573596358118362,0.1062215477996965,6.833333333333333
intrinsic_only_vs_type_aware,query_type,5,recall@5,659,0.644916540212443,0.7481031866464339,0.10318664643399089,0.33304186151824655,0.30983086019154243,74,6,579,0.11229135053110774,0.009104704097116844,0.8786039453717754,0.10318664643399089,12.333333333333334
