comparison,metric,sample_size,available_pairs,observed_mean_delta,paired_delta_sd,bootstrap_ci_low,bootstrap_ci_high,bootstrap_ci_half_width,analytic_95ci_half_width,ci_excludes_zero,observed_delta_exceeds_ci_half_width,draws
intrinsic_only_vs_type_aware,mrr,100,2760,0.06519048587744175,0.29184052613593325,0.006650924250096082,0.12131837301593067,0.05733372438291729,0.057200743122642915,True,True,2000
intrinsic_only_vs_type_aware,mrr,250,2760,0.06519048587744175,0.29184052613593325,0.029341070294439,0.10139621423876939,0.0360275719721652,0.03617692642435275,True,True,2000
intrinsic_only_vs_type_aware,mrr,500,2760,0.06519048587744175,0.29184052613593325,0.03979350073538745,0.08974582391461461,0.02497616158961358,0.025580949997146628,True,True,2000
intrinsic_only_vs_type_aware,mrr,1000,2760,0.06519048587744175,0.29184052613593325,0.04754967232318202,0.0840667271535004,0.018258527415159192,0.018088463212176376,True,True,2000
intrinsic_only_vs_type_aware,mrr,1500,2760,0.06519048587744175,0.29184052613593325,0.05014239960433673,0.0799974283583668,0.014927514377015037,0.014769168366978964,True,True,2000
intrinsic_only_vs_type_aware,mrr,2760,2760,0.06519048587744175,0.29184052613593325,0.05403843591100417,0.07588411963231845,0.010922841860657138,0.01088797537404203,True,True,2000
intrinsic_only_vs_type_aware,recall@1,100,2760,0.06956521739130435,0.4165145936982703,-0.01,0.15,0.08,0.08163686036486098,False,False,2000
intrinsic_only_vs_type_aware,recall@1,250,2760,0.06956521739130435,0.4165145936982703,0.016,0.12,0.052,0.05163168395561706,True,True,2000
intrinsic_only_vs_type_aware,recall@1,500,2760,0.06956521739130435,0.4165145936982703,0.03595,0.106,0.035025,0.03650911384909749,True,True,2000
intrinsic_only_vs_type_aware,recall@1,1000,2760,0.06956521739130435,0.4165145936982703,0.043,0.095,0.026000000000000002,0.02581584197780853,True,True,2000
intrinsic_only_vs_type_aware,recall@1,1500,2760,0.06956521739130435,0.4165145936982703,0.048,0.09133333333333334,0.021666666666666667,0.02107854670865113,True,True,2000
intrinsic_only_vs_type_aware,recall@1,2760,2760,0.06956521739130435,0.4165145936982703,0.05433876811594203,0.08478260869565217,0.01522192028985507,0.015539310798129456,True,True,2000
intrinsic_only_vs_type_aware,recall@3,100,2760,0.07681159420289856,0.37775972178686434,0.009750000000000014,0.15,0.07012499999999999,0.07404090547022542,True,True,2000
intrinsic_only_vs_type_aware,recall@3,250,2760,0.07681159420289856,0.37775972178686434,0.032,0.124,0.046,0.04682758026142652,True,True,2000
intrinsic_only_vs_type_aware,recall@3,500,2760,0.07681159420289856,0.37775972178686434,0.044,0.11,0.033,0.03311209954941201,True,True,2000
intrinsic_only_vs_type_aware,recall@3,1000,2760,0.07681159420289856,0.37775972178686434,0.053,0.10002499999999986,0.023512499999999933,0.02341379013071326,True,True,2000
intrinsic_only_vs_type_aware,recall@3,1500,2760,0.07681159420289856,0.37775972178686434,0.058,0.09666666666666666,0.01933333333333333,0.019117279588286712,True,True,2000
intrinsic_only_vs_type_aware,recall@3,2760,2760,0.07681159420289856,0.37775972178686434,0.06231884057971015,0.09094202898550724,0.014311594202898546,0.014093445494285395,True,True,2000
intrinsic_only_vs_type_aware,recall@5,100,2760,0.06811594202898551,0.3608185103706274,0.0,0.14,0.07,0.07072042803264297,False,False,2000
intrinsic_only_vs_type_aware,recall@5,250,2760,0.06811594202898551,0.3608185103706274,0.024,0.116,0.046,0.044727525937034496,True,True,2000
intrinsic_only_vs_type_aware,recall@5,500,2760,0.06811594202898551,0.3608185103706274,0.036,0.1,0.032,0.031627136895774274,True,True,2000
intrinsic_only_vs_type_aware,recall@5,1000,2760,0.06811594202898551,0.3608185103706274,0.045,0.091,0.023,0.022363762968517248,True,True,2000
intrinsic_only_vs_type_aware,recall@5,1500,2760,0.06811594202898551,0.3608185103706274,0.04933333333333333,0.08733333333333333,0.019,0.018259936000472425,True,True,2000
intrinsic_only_vs_type_aware,recall@5,2760,2760,0.06811594202898551,0.3608185103706274,0.05507246376811594,0.08152173913043478,0.013224637681159421,0.013461403415864414,True,True,2000
