train_fraction,method,seeds,mean_queries,mrr_mean,mrr_stdev,recall@1_mean,recall@1_stdev,recall@3_mean,recall@3_stdev,recall@5_mean,recall@5_stdev
0.5,ablation_full,10,919.0,0.6622899500930816,0.007748361369121764,0.5646354733405876,0.009464657463508776,0.7217627856365615,0.010259716706266067,0.7828073993471164,0.008081260756842151
0.5,ablation_intrinsic_only,10,919.0,0.6713580598183707,0.0064332226516015225,0.5713819368879216,0.008085329666397995,0.738955386289445,0.007441366533574803,0.7947769314472253,0.006051985089478185
0.5,type_aware,10,919.0,0.6115221163401312,0.005956022495908623,0.5076169749727966,0.008556493371117472,0.6693144722524483,0.006537897229945502,0.7325353645266595,0.006319956913928057
0.6,ablation_full,10,736.0,0.6653923719524699,0.011523693183509296,0.5668478260869565,0.016150136248996905,0.7283967391304348,0.011083529651790207,0.7876358695652174,0.00810296136170214
0.6,ablation_intrinsic_only,10,736.0,0.6739704789085763,0.006275678698896489,0.5758152173913044,0.008540470700234178,0.741304347826087,0.011097400830283878,0.7949728260869565,0.007856190843027348
0.6,type_aware,10,736.0,0.6135556426195666,0.007719036022536787,0.5103260869565217,0.008597918460206012,0.6706521739130435,0.009219572934782226,0.7341032608695652,0.008829779649807032
0.7,ablation_full,10,552.0,0.6690689085555059,0.014486120189141572,0.5719202898550725,0.021588480961157813,0.7342391304347826,0.008584654562795151,0.788768115942029,0.006228887419433622
0.7,ablation_intrinsic_only,10,552.0,0.6727770455132887,0.012002306980914083,0.5730072463768116,0.016952366434166827,0.7431159420289855,0.011387294266978914,0.797463768115942,0.00861645361436568
0.7,type_aware,10,552.0,0.6143971951794123,0.013413702692886444,0.5132246376811594,0.016204516337730786,0.6715579710144928,0.014316816552625984,0.7329710144927536,0.011931486990558921
0.8,ablation_full,10,368.0,0.6676516133169486,0.01572379732230476,0.56875,0.021167375539484667,0.7358695652173913,0.012472401795694593,0.7918478260869565,0.016563955725597764
0.8,ablation_intrinsic_only,10,368.0,0.6746554169873888,0.01516917675996526,0.5777173913043478,0.01830517112908569,0.7410326086956522,0.01798184062053993,0.7983695652173913,0.016444645967985817
0.8,type_aware,10,368.0,0.610238925507003,0.01593523430717308,0.5089673913043479,0.019513569107984154,0.66875,0.020553811653631647,0.7279891304347826,0.019062671625074003
