run,size,strategy,method,num_memories,total_tokens,recall@1,recall@3,recall@5,mrr
cross_agent_100,100,private_only,hybrid,100,2824,0.0,0.0,0.0,0.0
cross_agent_100,100,private_only,time_aware,100,2824,0.0,0.0,0.0,0.0
cross_agent_100,100,private_only,vector,100,2824,0.0,0.0,0.0,0.0
cross_agent_100,100,shared_allowed,hybrid,100,2824,0.83,0.96,1.0,0.8978333333333334
cross_agent_100,100,shared_allowed,time_aware,100,2824,0.91,0.97,1.0,0.9436666666666667
cross_agent_100,100,shared_allowed,vector,100,2824,0.61,0.79,0.87,0.7270992063492063
cross_agent_100,100,shared_plus_private_noise,hybrid,200,5648,0.83,0.96,1.0,0.8978333333333334
cross_agent_100,100,shared_plus_private_noise,time_aware,200,5648,0.91,0.97,1.0,0.9436666666666667
cross_agent_100,100,shared_plus_private_noise,vector,200,5648,0.61,0.74,0.79,0.6890474396876836
cross_agent_100,100,unfiltered_private_first,hybrid,200,5648,0.0,0.79,0.88,0.4244801587301587
cross_agent_100,100,unfiltered_private_first,time_aware,200,5648,0.0,0.89,0.95,0.4558333333333333
cross_agent_100,100,unfiltered_private_first,vector,200,5648,0.0,0.61,0.74,0.357433856777897
cross_agent_300,300,private_only,hybrid,300,8453,0.0,0.0,0.0,0.0
cross_agent_300,300,private_only,time_aware,300,8453,0.0,0.0,0.0,0.0
cross_agent_300,300,private_only,vector,300,8453,0.0,0.0,0.0,0.0
cross_agent_300,300,shared_allowed,hybrid,300,8453,0.6566666666666666,0.86,0.9,0.7745372775372775
cross_agent_300,300,shared_allowed,time_aware,300,8453,0.7566666666666667,0.93,0.96,0.8508214285714286
cross_agent_300,300,shared_allowed,vector,300,8453,0.38,0.6266666666666667,0.7333333333333333,0.5306824170878928
cross_agent_300,300,shared_plus_private_noise,hybrid,600,16906,0.6566666666666666,0.86,0.9,0.7745372775372775
cross_agent_300,300,shared_plus_private_noise,time_aware,600,16906,0.7566666666666667,0.93,0.96,0.8508214285714286
cross_agent_300,300,shared_plus_private_noise,vector,600,16906,0.38,0.5266666666666666,0.6266666666666667,0.4915629520259221
cross_agent_300,300,unfiltered_private_first,hybrid,600,16906,0.0,0.6233333333333333,0.7866666666666666,0.34464523739722286
cross_agent_300,300,unfiltered_private_first,time_aware,600,16906,0.0,0.7333333333333333,0.8566666666666667,0.3976199200409727
cross_agent_300,300,unfiltered_private_first,vector,600,16906,0.0,0.37,0.5166666666666667,0.24609416814909074
cross_agent_500,500,private_only,hybrid,500,14092,0.0,0.0,0.0,0.0
cross_agent_500,500,private_only,time_aware,500,14092,0.0,0.0,0.0,0.0
cross_agent_500,500,private_only,vector,500,14092,0.0,0.0,0.0,0.0
cross_agent_500,500,shared_allowed,hybrid,500,14092,0.572,0.822,0.86,0.708585075502413
cross_agent_500,500,shared_allowed,time_aware,500,14092,0.704,0.864,0.912,0.8001281809693574
cross_agent_500,500,shared_allowed,vector,500,14092,0.284,0.46,0.57,0.42400547973410907
cross_agent_500,500,shared_plus_private_noise,hybrid,1000,28184,0.572,0.822,0.86,0.708585075502413
cross_agent_500,500,shared_plus_private_noise,time_aware,1000,28184,0.704,0.864,0.912,0.8001281809693574
cross_agent_500,500,shared_plus_private_noise,vector,1000,28184,0.284,0.426,0.472,0.3908418707817017
cross_agent_500,500,unfiltered_private_first,hybrid,1000,28184,0.0,0.508,0.72,0.3045938815262006
cross_agent_500,500,unfiltered_private_first,time_aware,1000,28184,0.0,0.656,0.81,0.36698510705383997
cross_agent_500,500,unfiltered_private_first,vector,1000,28184,0.0,0.254,0.384,0.18945430385606415
