group,label,count,share_of_errors,share_of_queries
reason,memory_type_mismatch,369,0.40108695652173915,0.20076169749727965
reason,gold_below_top20,248,0.26956521739130435,0.13492927094668117
reason,other,76,0.08260869565217391,0.041349292709466814
reason,semantic_neighbor,62,0.06739130434782609,0.03373231773667029
reason,temporal_neighbor,55,0.059782608695652176,0.029923830250272034
reason,activity_neighbor,34,0.03695652173913044,0.018498367791077257
reason,persona_confusion,34,0.03695652173913044,0.018498367791077257
reason,preference_neighbor,14,0.015217391304347827,0.007616974972796518
reason,relationship_neighbor,14,0.015217391304347827,0.007616974972796518
reason,career_education_neighbor,10,0.010869565217391304,0.00544069640914037
reason,identity_neighbor,4,0.004347826086956522,0.002176278563656148
intent,other,442,0.48043478260869565,0.24047878128400435
intent,temporal,153,0.16630434782608697,0.08324265505984767
intent,activity,98,0.10652173913043478,0.05331882480957562
intent,causal_emotion,57,0.06195652173913044,0.031011969532100107
intent,preference,52,0.05652173913043478,0.028291621327529923
intent,location,46,0.05,0.025027203482045703
intent,relationship,38,0.041304347826086954,0.020674646354733407
intent,career_education,28,0.030434782608695653,0.015233949945593036
intent,identity,6,0.006521739130434782,0.003264417845484222
query_type,4,332,0.36086956521739133,0.18063112078346028
query_type,5,233,0.2532608695652174,0.1267682263329706
query_type,1,179,0.19456521739130433,0.09738846572361262
query_type,2,116,0.12608695652173912,0.06311207834602829
query_type,3,60,0.06521739130434782,0.03264417845484222
top_memory_type,event,226,0.24565217391304348,0.12295973884657237
top_memory_type,hobby,110,0.11956521739130435,0.05984766050054407
top_memory_type,plan,110,0.11956521739130435,0.05984766050054407
top_memory_type,preference,105,0.11413043478260869,0.057127312295973884
top_memory_type,family,74,0.08043478260869565,0.04026115342763874
top_memory_type,goal,66,0.07173913043478261,0.035908596300326445
top_memory_type,relationship,55,0.059782608695652176,0.029923830250272034
top_memory_type,work,54,0.058695652173913045,0.029379760609358
top_memory_type,emotion,43,0.04673913043478261,0.023394994559303592
top_memory_type,health,24,0.02608695652173913,0.013057671381936888
top_memory_type,identity,17,0.01847826086956522,0.009249183895538629
top_memory_type,other,16,0.017391304347826087,0.008705114254624592
top_memory_type,education,9,0.009782608695652175,0.004896626768226333
top_memory_type,skill,6,0.006521739130434782,0.003264417845484222
top_memory_type,belief,2,0.002173913043478261,0.001088139281828074
top_memory_type,activity,2,0.002173913043478261,0.001088139281828074
top_memory_type,project,1,0.0010869565217391304,0.000544069640914037
gold_memory_types,event,187,0.20326086956521738,0.10174102285092491
gold_memory_types,preference,97,0.10543478260869565,0.05277475516866159
gold_memory_types,hobby,84,0.09130434782608696,0.04570184983677911
gold_memory_types,plan,54,0.058695652173913045,0.029379760609358
gold_memory_types,family,41,0.04456521739130435,0.022306855277475515
gold_memory_types,goal,25,0.02717391304347826,0.013601741022850925
gold_memory_types,event|hobby,25,0.02717391304347826,0.013601741022850925
gold_memory_types,work,23,0.025,0.012513601741022852
gold_memory_types,relationship,19,0.020652173913043477,0.010337323177366704
gold_memory_types,emotion,19,0.020652173913043477,0.010337323177366704
gold_memory_types,event|family,15,0.016304347826086956,0.008161044613710556
gold_memory_types,hobby|preference,14,0.015217391304347827,0.007616974972796518
gold_memory_types,event|work,14,0.015217391304347827,0.007616974972796518
gold_memory_types,event|plan,13,0.014130434782608696,0.007072905331882481
gold_memory_types,other,13,0.014130434782608696,0.007072905331882481
gold_memory_types,event|preference,12,0.013043478260869565,0.006528835690968444
gold_memory_types,goal|plan,8,0.008695652173913044,0.004352557127312296
gold_memory_types,health,8,0.008695652173913044,0.004352557127312296
gold_memory_types,goal|work,7,0.007608695652173913,0.003808487486398259
gold_memory_types,goal|plan|work,7,0.007608695652173913,0.003808487486398259
gold_memory_types,emotion|event,7,0.007608695652173913,0.003808487486398259
gold_memory_types,event|goal,7,0.007608695652173913,0.003808487486398259
gold_memory_types,event|hobby|relationship,7,0.007608695652173913,0.003808487486398259
gold_memory_types,event|family|identity,6,0.006521739130434782,0.003264417845484222
gold_memory_types,goal|hobby,6,0.006521739130434782,0.003264417845484222
gold_memory_types,event|identity,6,0.006521739130434782,0.003264417845484222
gold_memory_types,event|relationship,6,0.006521739130434782,0.003264417845484222
gold_memory_types,education,5,0.005434782608695652,0.002720348204570185
gold_memory_types,event|hobby|preference,5,0.005434782608695652,0.002720348204570185
gold_memory_types,education|goal,5,0.005434782608695652,0.002720348204570185
gold_memory_types,hobby|plan,4,0.004347826086956522,0.002176278563656148
gold_memory_types,plan|work,4,0.004347826086956522,0.002176278563656148
gold_memory_types,emotion|work,4,0.004347826086956522,0.002176278563656148
gold_memory_types,family|preference,3,0.003260869565217391,0.001632208922742111
gold_memory_types,event|other,3,0.003260869565217391,0.001632208922742111
gold_memory_types,emotion|event|hobby,3,0.003260869565217391,0.001632208922742111
gold_memory_types,hobby|relationship,3,0.003260869565217391,0.001632208922742111
gold_memory_types,health|preference,3,0.003260869565217391,0.001632208922742111
gold_memory_types,emotion|event|hobby|preference|work,3,0.003260869565217391,0.001632208922742111
gold_memory_types,emotion|hobby,3,0.003260869565217391,0.001632208922742111
gold_memory_types,family|health,3,0.003260869565217391,0.001632208922742111
gold_memory_types,emotion|event|work,3,0.003260869565217391,0.001632208922742111
gold_memory_types,goal|preference,3,0.003260869565217391,0.001632208922742111
gold_memory_types,emotion|preference,3,0.003260869565217391,0.001632208922742111
gold_memory_types,goal|health|other,3,0.003260869565217391,0.001632208922742111
gold_memory_types,hobby|other,3,0.003260869565217391,0.001632208922742111
gold_memory_types,family|goal|hobby|work,3,0.003260869565217391,0.001632208922742111
gold_memory_types,emotion|identity,2,0.002173913043478261,0.001088139281828074
gold_memory_types,emotion|plan|relationship,2,0.002173913043478261,0.001088139281828074
gold_memory_types,plan|preference,2,0.002173913043478261,0.001088139281828074
gold_memory_types,event|health,2,0.002173913043478261,0.001088139281828074
