run,method,num_queries,recall@1,recall@3,recall@5,mrr
sample_10,hybrid,10,0.8,0.9,1.0,0.875
sample_10,time_aware,10,0.8,0.9,1.0,0.875
sample_10,vector,10,0.8,0.9,1.0,0.87
synthetic_100,hybrid,80,0.4,0.825,0.9875,0.6372916666666667
synthetic_100,time_aware,80,0.575,0.8875,0.9875,0.7404166666666666
synthetic_100,vector,80,0.4,0.825,0.9875,0.6372916666666667
synthetic_300,hybrid,240,0.2,0.5458333333333333,0.7208333333333333,0.4375517538017538
synthetic_300,time_aware,240,0.3375,0.6458333333333334,0.75,0.5288711982461982
synthetic_300,vector,240,0.175,0.525,0.7,0.41586524586524587
synthetic_500,hybrid,400,0.1375,0.4175,0.5725,0.34525442476181556
synthetic_500,time_aware,400,0.24,0.5225,0.6425,0.4239210914284822
synthetic_500,vector,400,0.12,0.3825,0.5425,0.3239807054255962
