candidate_limit,method,num_queries,mrr,recall@1,recall@3,recall@5
50,hybrid,1838,0.56367562305108,0.4646354733405876,0.6251360174102285,0.6795429815016322
50,keyword,1838,0.5154797483019393,0.40805223068552776,0.5837867247007617,0.6354733405875952
50,time_aware,1838,0.5761142176758292,0.4782372143634385,0.6381936887921654,0.691512513601741
50,type_aware,1838,0.5788868742621202,0.4820457018498368,0.6387377584330794,0.6947769314472253
100,hybrid,1838,0.5838191178963849,0.47932535364526657,0.6474428726877041,0.7089227421109902
100,keyword,1838,0.5194396928115524,0.41077257889009794,0.5772578890097932,0.6474428726877041
100,time_aware,1838,0.5969277756515494,0.49455930359085964,0.6621327529923831,0.719804134929271
100,type_aware,1838,0.6002591330464714,0.4972796517954298,0.6670293797606094,0.7230685527747551
200,hybrid,1838,0.5890242950385254,0.4836779107725789,0.6561479869423286,0.7132752992383025
200,keyword,1838,0.49452951462726946,0.38737758433079433,0.5424374319912949,0.6202393906420022
200,time_aware,1838,0.6072246905552321,0.5016322089227421,0.6784548422198041,0.7317736670293797
200,type_aware,1838,0.6121968834462711,0.5081610446137106,0.6806311207834603,0.733949945593036
500,hybrid,1838,0.5844506749323138,0.47551686615886835,0.6539717083786725,0.7121871599564744
500,keyword,1838,0.49406167019850566,0.38900979325353646,0.5489662676822633,0.6055495103373232
500,time_aware,1838,0.6076788617115335,0.5016322089227421,0.6735582154515778,0.7328618063112078
500,type_aware,1838,0.6112177714451587,0.5059847660500544,0.6741022850924918,0.7372143634385201
