candidate_limit,method,num_queries,mrr,recall@1,recall@3,recall@5
50,hybrid,1838,0.56180625460679,0.4630032644178455,0.6229597388465724,0.6773667029379761
50,keyword,1838,0.5130186439365912,0.4047878128400435,0.5821545157780196,0.6332970620239391
50,time_aware,1838,0.5739629443330433,0.47606093579978237,0.6360174102285092,0.6893362350380848
50,type_aware,1838,0.5768338357156104,0.47986942328618065,0.6365614798694232,0.6926006528835691
100,hybrid,1838,0.5796969681068913,0.4766050054406964,0.6420021762785637,0.7023939064200218
100,keyword,1838,0.5146456700880445,0.40696409140369966,0.5729053318824809,0.6409140369967355
100,time_aware,1838,0.5928400344696255,0.49183895538628947,0.6566920565832427,0.7132752992383025
100,type_aware,1838,0.5961006994472279,0.49455930359085964,0.661588683351469,0.7165397170837867
200,hybrid,1838,0.5827504910564107,0.4782372143634385,0.6485310119695321,0.70620239390642
200,keyword,1838,0.4914275718083046,0.38737758433079433,0.5397170837867247,0.6109902067464635
200,time_aware,1838,0.5996700022452147,0.4940152339499456,0.6702937976060935,0.7230685527747551
200,type_aware,1838,0.6046917491352225,0.5016322089227421,0.6724700761697497,0.7252448313384113
500,hybrid,1838,0.5803035369650744,0.4733405875952122,0.6479869423286181,0.705658324265506
500,keyword,1838,0.49301563916756785,0.3906420021762786,0.5473340587595212,0.5995647442872688
500,time_aware,1838,0.6009505215525013,0.4972796517954298,0.6659412404787813,0.7219804134929271
500,type_aware,1838,0.6064726913702145,0.5054406964091404,0.6643090315560392,0.7252448313384113
