memory_bank_size,scorer_seconds,index_type,nlist,nprobe,top_k,train_seconds,add_seconds,query_seconds,query_ms_per_query,candidate_gold_recall
2517,4.0847750000000005,flat,0,0,200,0.0,0.001206541000000172,0.05950837500000006,0.03237670021762789,0.9766050054406964
2517,4.0847750000000005,ivf,128,8,200,0.010468874999999933,0.0018203329999995077,0.03414637499999973,0.018578005984765902,0.8618063112078346
2517,4.0847750000000005,ivf,128,32,200,0.010434292000000234,0.001570083999999916,0.100627083,0.054748140914037,0.9504896626768227
10000,4.0847750000000005,flat,0,0,200,0.0,0.0038039999999996965,0.07915449999999957,0.04306556039172991,0.9733405875952121
10000,4.0847750000000005,ivf,128,8,200,0.04302158399999989,0.008774208999999367,0.15639050000000054,0.085087323177367,0.8808487486398259
10000,4.0847750000000005,ivf,128,32,200,0.04321095800000041,0.007385917000000575,0.6455129169999996,0.35120398095756233,0.9640914036996736
25000,4.0847750000000005,flat,0,0,200,0.0,0.009918792000000565,0.12900904100000066,0.07018990261153463,0.9635473340587595
25000,4.0847750000000005,ivf,128,8,200,0.10839649999999956,0.023583583999999824,0.285241375,0.15519117247007616,0.8715995647442872
25000,4.0847750000000005,ivf,128,32,200,0.1223202919999995,0.02026899999999987,1.1317210419999997,0.6157350609357995,0.9499455930359086
50000,4.0847750000000005,flat,0,0,200,0.0,0.0464445419999997,0.19928704099999983,0.10842602883569087,0.9575625680087051
50000,4.0847750000000005,ivf,128,8,200,0.15436391699999952,0.04379829199999996,0.4901379170000002,0.2666691605005442,0.8623503808487486
50000,4.0847750000000005,ivf,128,32,200,0.15476587500000072,0.03865087499999831,1.9144450420000005,1.0415914265505988,0.94069640914037
