group,label,value,count,share,total,kappa
overview,samples,total,80,1.0,,
overview,confirmed_samples,fully_confirmed,0,0.0,,
overview,validation_errors,invalid_labels,0,0.0,,
agreement,auto_reason_correct,exact,0,0.0,0,
agreement,auto_reason_correct,partial_credit,0.0,0.0,0,
agreement,top_memory_relevant,exact,0,0.0,0,
agreement,top_memory_relevant,partial_credit,0.0,0.0,0,
agreement,gold_memory_sufficient,exact,0,0.0,0,
agreement,gold_memory_sufficient,partial_credit,0.0,0.0,0,
human_distribution,auto_reason_correct,yes,0,0.0,,
human_distribution,auto_reason_correct,partial,0,0.0,,
human_distribution,auto_reason_correct,no,0,0.0,,
human_distribution,top_memory_relevant,yes,0,0.0,,
human_distribution,top_memory_relevant,partial,0,0.0,,
human_distribution,top_memory_relevant,no,0,0.0,,
human_distribution,gold_memory_sufficient,yes,0,0.0,,
human_distribution,gold_memory_sufficient,no,0,0.0,,
human_distribution,gold_memory_sufficient,unclear,0,0.0,,
