candidate_limit,method,num_queries,mrr,recall@1,recall@3,recall@5
50,hybrid,1838,0.45389920091007546,0.381936887921654,0.5016322089227421,0.5424374319912949
50,keyword,1838,0.4373931416395086,0.3645266594124048,0.485310119695321,0.5239390642002176
50,time_aware,1838,0.4557705720656326,0.382480957562568,0.5065288356909684,0.5505984766050055
50,type_aware,1838,0.4582209045638542,0.3852013057671382,0.5070729053318824,0.5527747551686616
100,hybrid,1838,0.46029053736211056,0.3808487486398259,0.5136017410228509,0.5538628944504896
100,keyword,1838,0.450797420212943,0.3737758433079434,0.4940152339499456,0.5402611534276387
100,time_aware,1838,0.4658712621038149,0.38792165397170836,0.5184983677910773,0.5565832426550599
100,type_aware,1838,0.4695017032155216,0.3928182807399347,0.5190424374319913,0.5614798694232862
200,hybrid,1838,0.46503821890684593,0.381936887921654,0.5195865070729053,0.5636561479869423
200,keyword,1838,0.46104881886013555,0.38139281828073995,0.5108813928182807,0.5511425462459195
200,time_aware,1838,0.4683105508540461,0.3852013057671382,0.5195865070729053,0.5652883569096845
200,type_aware,1838,0.4714360695331116,0.38900979325353646,0.5217627856365615,0.5718171926006529
500,hybrid,1838,0.4648107097915666,0.3808487486398259,0.5163220892274211,0.558759521218716
500,keyword,1838,0.472825573605585,0.39336235038084877,0.5174102285092492,0.5614798694232862
500,time_aware,1838,0.4673415066979577,0.382480957562568,0.5184983677910773,0.5620239390642002
500,type_aware,1838,0.47167084870534604,0.38792165397170836,0.5201305767138193,0.5680087051142546
