label,encoder,role,num_queries,mrr,delta_vs_bge_type_aware_mrr,recall@1,delta_vs_bge_type_aware_recall@1,recall@3,delta_vs_bge_type_aware_recall@3,recall@5,delta_vs_bge_type_aware_recall@5
BGE-M3 vector,bge_m3,semantic_vector,1838,0.5265473512132081,-0.08283744907181523,0.41947769314472255,-0.0837867247007617,0.5848748639825898,-0.08541893362350372,0.6430903155603918,-0.09031556039173017
BGE-M3 hybrid,bge_m3,semantic_plus_keyword,1838,0.5833580397513851,-0.02602676053363817,0.4766050054406964,-0.026659412404787863,0.6474428726877041,-0.02285092491838947,0.705114254624592,-0.028291621327529937
BGE-M3 type-aware,bge_m3,main_retrieval_baseline,1838,0.6093848002850233,0.0,0.5032644178454843,0.0,0.6702937976060935,0.0,0.7334058759521219,0.0
Hash vector,hash,offline_semantic_floor,1838,0.35380924261844937,-0.2555755576665739,0.26822633297062026,-0.235038084874864,0.38465723612622416,-0.2856365614798694,0.44178454842219805,-0.29162132752992387
Hash hybrid,hash,offline_hybrid_floor,1838,0.4947953990931181,-0.1145894011919052,0.39336235038084877,-0.10990206746463549,0.5473340587595212,-0.1229597388465723,0.6137105549510338,-0.11969532100108815
Hash type-aware,hash,offline_type_aware_floor,1838,0.49752474089332477,-0.11186005939169852,0.39662676822633297,-0.10663764961915129,0.5527747551686616,-0.11751904243743194,0.6060935799782372,-0.12731229597388471
BM25 keyword,lexical,lexical_baseline,1838,0.5256531216398505,-0.08373167864517284,0.4281828073993471,-0.07508161044613715,0.5805223068552775,-0.08977149075081603,0.6343852013057671,-0.09902067464635478
bge_type_minus_hash_type,delta,diagnostic_delta,1838,0.11186005939169852,,0.10663764961915129,,0.11751904243743194,,0.12731229597388471,
bge_type_minus_keyword,delta,diagnostic_delta,1838,0.08373167864517284,,0.07508161044613715,,0.08977149075081603,,0.09902067464635478,
bge_hybrid_minus_hash_hybrid,delta,diagnostic_delta,1838,0.08856264065826702,,0.08324265505984763,,0.10010881392818283,,0.09140369967355821,
