query_id,query_type,method,selected_method,mrr,recall@1,recall@3,recall@5,first_rank
q00001,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00003,3,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00004,1,query_type_router,vector,0.08333333333333333,0.0,0.0,0.0,12
q00005,1,query_type_router,vector,0.125,0.0,0.0,0.0,8
q00006,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00007,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00008,1,query_type_router,vector,0.045454545454545456,0.0,0.0,0.0,22
q00009,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00010,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00011,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00012,1,query_type_router,vector,1.0,1.0,1.0,1.0,1
q00013,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00014,1,query_type_router,vector,1.0,1.0,1.0,1.0,1
q00015,3,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00016,1,query_type_router,vector,0.1111111111111111,0.0,0.0,0.0,9
q00017,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00018,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00019,1,query_type_router,vector,0.5,0.0,1.0,1.0,2
q00020,1,query_type_router,vector,0.3333333333333333,0.0,1.0,1.0,3
q00021,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00022,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00023,3,query_type_router,type_aware,0.5,0.0,1.0,1.0,2
q00024,1,query_type_router,vector,0.3333333333333333,0.0,1.0,1.0,3
q00025,1,query_type_router,vector,0.5,0.0,1.0,1.0,2
q00026,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00028,3,query_type_router,type_aware,0.2,0.0,0.0,1.0,5
q00029,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00030,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00032,2,query_type_router,type_aware,0.04,0.0,0.0,0.0,25
q00033,1,query_type_router,vector,0.05,0.0,0.0,0.0,20
q00034,2,query_type_router,type_aware,0.25,0.0,0.0,1.0,4
q00035,1,query_type_router,vector,0.2,0.0,0.0,1.0,5
