label,observed,expected_min,pass
LoCoMo10 type_aware MRR,0.6093848002850233,0.6,True
LoCoMo10 type_aware Recall@5,0.7334058759521219,0.73,True
Candidate reranker MRR,0.6605859366363394,0.65,True
Candidate reranker Recall@5,0.7956521739130434,0.79,True
Intrinsic-only candidate reranker MRR,0.6718996168287364,0.67,True
Intrinsic-only candidate reranker Recall@5,0.8014492753623188,0.8,True
Intrinsic-only LOCO candidate reranker MRR,0.6638026458848906,0.66,True
Intrinsic-only LOCO candidate reranker Recall@5,0.7968899014127238,0.79,True
Intrinsic-only seed-stability positive-seed rate,1.0,1.0,True
Intrinsic-only seed-stability minimum MRR delta,0.041393908437331706,0.04,True
Intrinsic-only train-fraction minimum win rate,1.0,1.0,True
Intrinsic-only train-fraction minimum MRR delta,0.041393908437331706,0.04,True
Intrinsic-only paired effect-size MRR Cohen dz,0.22337708453512511,0.2,True
Intrinsic-only paired effect-size positive net rate,0.06521739130434782,0.06,True
Intrinsic-only held-out MRR oracle-gap closure,0.21535541046296136,0.2,True
Type3 Coverage@5 oracle-gap closure is negative,0.21495745633676655,0.1,True
Type3 supervised selector Coverage@5 delta is negative,0.057205104263927796,0.05,True
