experiment,baseline,candidate,metric,num_pairs,baseline_mean,candidate_mean,mean_delta,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value,improved_pairs,worsened_pairs,tied_pairs
type3_specific_reranker,type_aware,type3_specific_reranker,coverage_ratio@5,126,0.37747302624753604,0.3307837949994813,-0.046689231248054776,-0.09377528789293495,-0.0026455026455026454,0.047390521895620874,11,21,94
type3_specific_reranker,type_aware,type3_specific_reranker,full_coverage@5,126,0.23015873015873015,0.20634920634920634,-0.023809523809523808,-0.07936507936507936,0.031746031746031744,0.5854829034193162,5,8,113
type3_specific_reranker,type_aware,type3_specific_reranker,coverage_ratio@20,126,0.5259531590413943,0.5451615831517792,0.019208424110384894,-0.030930335097001764,0.06995798319327731,0.46530693861227757,19,18,89
type3_specific_reranker,type_aware,type3_specific_reranker,full_coverage@20,126,0.373015873015873,0.4126984126984127,0.03968253968253968,-0.031746031746031744,0.1111111111111111,0.378124375124975,13,8,105
supervised_set_selector,type_aware,supervised_set_selector,coverage_ratio@5,126,0.37747302624753604,0.32026792198360826,-0.057205104263927796,-0.11057422969187675,-0.0061507936507936515,0.028594281143771244,14,25,87
supervised_set_selector,type_aware,supervised_set_selector,full_coverage@5,126,0.23015873015873015,0.1746031746031746,-0.05555555555555555,-0.11904761904761904,0.0,0.122375524895021,4,11,111
supervised_set_selector,type_aware,supervised_set_selector,coverage_ratio@20,126,0.5259531590413943,0.5360462703599959,0.010093111318601513,-0.03738977072310406,0.05700280112044818,0.6822635472905418,15,13,98
supervised_set_selector,type_aware,supervised_set_selector,full_coverage@20,126,0.373015873015873,0.38095238095238093,0.007936507936507936,-0.047619047619047616,0.07142857142857142,1.0,8,7,111
query_decomposition_fusion,type_aware,type_aware_plus_decomposition,coverage_ratio@5,86,0.36990234078127376,0.3374354005167959,-0.032466940264477884,-0.06569767441860465,-0.006976744186046514,0.01979604079184163,1,8,77
query_decomposition_fusion,type_aware,type_aware_plus_decomposition,full_coverage@5,86,0.23255813953488372,0.20930232558139536,-0.023255813953488372,-0.05813953488372093,0.0,0.4931013797240552,0,2,84
query_decomposition_fusion,type_aware,type_aware_plus_decomposition,coverage_ratio@20,86,0.5367785486287538,0.5367785486287538,0.0,0.0,0.0,1.0,0,0,86
query_decomposition_fusion,type_aware,type_aware_plus_decomposition,full_coverage@20,86,0.37209302325581395,0.37209302325581395,0.0,0.0,0.0,1.0,0,0,86
