feature,mean_abs_weight,mean_weight,stdev_weight
candidate_norm,1.744086197068326,1.744086197068326,0.12111864734542557
candidate_rank_inv,1.6917594863969545,1.6917594863969545,0.1315410899705478
source_candidate,1.1996616278616588,1.1996616278616588,0.07124975566500175
bm25_norm,0.7549492106541664,0.7549492106541664,0.057187210382346684
facet_hits,0.5587014389660532,0.5587014389660532,0.08602076683444164
persona_score,0.3633200258404942,0.3633200258404942,0.01580798762549916
importance_score,0.31088962770930967,0.31088962770930967,0.07188209045857422
memory_type=hobby,0.2956699644293556,-0.2956699644293556,0.04402141564041874
source_facet,0.28897497199356154,0.28897497199356154,0.01437397981624384
semantic_norm,0.2441891454112732,0.2441891454112732,0.07045085297333849
source_offline,0.2146221800097816,0.2146221800097816,0.04135647583837089
memory_type=work,0.18912663246230418,-0.18912663246230418,0.004001245247316644
facet_rrf,0.16292708038475004,0.16292708038475004,0.03009845363235946
candidate_rrf,0.16196349008041655,0.16196349008041655,0.010876573899007229
entity_overlap,0.13892856394348166,0.13892856394348166,0.05275634338780367
memory_type=goal,0.13473138890060873,0.13473138890060873,0.0866613822856102
memory_type_score,0.13302523155929333,0.13302523155929333,0.04739744048896105
memory_type=relationship,0.13212370938390594,-0.13212370938390594,0.02837247566116306
memory_type=event,0.1287591109105579,0.1287591109105579,0.04061992097426813
memory_type=preference,0.12723241955163977,0.12723241955163977,0.06320947021266153
memory_type=plan,0.12503166995621506,0.12503166995621506,0.05833971960228796
memory_type=health,0.12303360402636876,0.09180284808203075,0.09931268229342473
memory_type=emotion,0.10713921923164105,-0.10713921923164105,0.02996633362293577
memory_type=family,0.10231027190467634,0.10231027190467634,0.033051814587110546
memory_type=identity,0.10060400427227861,-0.10060400427227861,0.03879547286870283
memory_type=education,0.08775293934477532,0.08775293934477532,0.031651655629375997
memory_type=other,0.020859360721612007,-0.020083050119405994,0.03282545690668152
memory_type=project,0.009818318827360482,-0.009818318827360482,0.0025412470031211426
memory_type=habit,0.008956053164783791,-0.008956053164783791,0.0019665551435242468
memory_type=belief,0.007959885689947965,-0.007959885689947965,0.002302176533107058
memory_type=skill,0.004978804512051393,-0.004978804512051393,0.0011376971835704646
memory_type=social,0.004054650650529965,-0.004054650650529965,0.0009681974262546348
memory_type=activity,0.0033043178664811153,-0.0033043178664811153,0.0003146455894707178
recency_score,0.0,0.0,0.0
