feature,splits,importance_mean,importance_stdev
candidate_rr,5,1.162208617069361,0.21095834257078883
candidate_norm,5,1.073182317170126,0.17492131597729194
candidate_rrf,5,0.8603934157720725,0.17418494130240053
bm25_norm,5,0.59812578671425,0.15482867076006884
text_len_log,5,0.5886757458460757,0.07599232316894962
query_token_coverage,5,0.4591085911550464,0.03596667248512026
semantic_norm,5,0.27720768394715917,0.06845817413724677
importance_score,5,0.24372643761230342,0.121531365418614
memory_type=work,5,0.2213806209699169,0.045353105551883884
memory_type=hobby,5,0.2163833882248565,0.08850762796003886
memory_type=event,5,0.21329135078553718,0.11352595696358123
memory_type=plan,5,0.19800392344993148,0.1653178562147774
memory_type=preference,5,0.17673047907054307,0.1357396387128693
persona_score,5,0.16432017724627246,0.07055337442635118
memory_type=relationship,5,0.1607334659593417,0.047022736455451415
entity_overlap,5,0.15568312741033505,0.12630416103469186
memory_type=health,5,0.14276844619223847,0.08677795469723167
memory_type=emotion,5,0.13493963750275514,0.08062187243408711
memory_type=goal,5,0.12319505644859567,0.09091585562175722
memory_type=family,5,0.11869252979807338,0.060526296647120864
memory_type_score,5,0.11327631679534965,0.08432232097252601
memory_type=identity,5,0.10699944464135806,0.07260729084147453
memory_type=education,5,0.071543076676456,0.04475953582470003
memory_type=other,5,0.029221254866073815,0.04973604176604245
memory_type=social,4,0.02836955209312059,0.00038038476837433464
recency_score,5,0.0,0.0
