record_idx,sample_id,session,prompt_tokens,completion_tokens,total_tokens
1,conv-26,D1,1067,756,1823
1,conv-26,D2,1262,649,1911
1,conv-26,D3,1683,795,2478
1,conv-26,D4,1355,774,2129
1,conv-26,D5,1171,471,1642
1,conv-26,D6,1172,883,2055
1,conv-26,D7,1591,895,2486
1,conv-26,D8,1852,1041,2893
1,conv-26,D9,1145,613,1758
1,conv-26,D10,1507,804,2311
1,conv-26,D11,1287,732,2019
1,conv-26,D12,1346,684,2030
1,conv-26,D13,1306,826,2132
1,conv-26,D14,1860,996,2856
1,conv-26,D15,1579,848,2427
1,conv-26,D16,1526,846,2372
1,conv-26,D17,1642,1092,2734
1,conv-26,D18,1370,747,2117
1,conv-26,D19,1209,830,2039
2,conv-30,D1,1421,930,2351
2,conv-30,D2,1246,752,1998
2,conv-30,D3,1160,651,1811
2,conv-30,D4,1195,528,1723
2,conv-30,D5,1625,901,2526
2,conv-30,D6,1208,757,1965
2,conv-30,D7,1127,460,1587
2,conv-30,D8,1515,815,2330
2,conv-30,D9,1155,703,1858
2,conv-30,D10,1204,720,1924
2,conv-30,D11,1306,785,2091
2,conv-30,D12,1155,857,2012
2,conv-30,D13,1217,758,1975
2,conv-30,D14,1245,852,2097
2,conv-30,D15,1177,555,1732
2,conv-30,D16,1070,608,1678
2,conv-30,D17,1247,701,1948
2,conv-30,D18,1482,939,2421
2,conv-30,D19,998,481,1479
3,conv-41,D1,1073,684,1757
3,conv-41,D2,1608,765,2373
3,conv-41,D3,1246,755,2001
3,conv-41,D4,1385,702,2087
3,conv-41,D5,1312,664,1976
3,conv-41,D6,1397,672,2069
3,conv-41,D7,1215,468,1683
3,conv-41,D8,1533,912,2445
3,conv-41,D9,1203,599,1802
3,conv-41,D10,1436,688,2124
3,conv-41,D11,1409,620,2029
3,conv-41,D12,1444,495,1939
3,conv-41,D13,1899,814,2713
3,conv-41,D14,1535,887,2422
3,conv-41,D15,1278,569,1847
3,conv-41,D16,1196,551,1747
3,conv-41,D17,1204,471,1675
3,conv-41,D18,1425,591,2016
3,conv-41,D19,1713,931,2644
3,conv-41,D20,1287,496,1783
3,conv-41,D21,1476,951,2427
3,conv-41,D22,1421,685,2106
3,conv-41,D23,1110,401,1511
3,conv-41,D24,1188,748,1936
3,conv-41,D25,1258,688,1946
3,conv-41,D26,1263,725,1988
3,conv-41,D27,1139,635,1774
3,conv-41,D28,1224,521,1745
3,conv-41,D29,1297,479,1776
3,conv-41,D30,1457,623,2080
4,conv-42,D1,1148,713,1861
4,conv-42,D2,1485,958,2443
4,conv-42,D3,1314,705,2019
4,conv-42,D4,1153,661,1814
4,conv-42,D5,1347,607,1954
4,conv-42,D6,1030,545,1575
4,conv-42,D7,932,530,1462
4,conv-42,D8,1321,637,1958
4,conv-42,D9,1312,780,2092
4,conv-42,D10,1148,778,1926
4,conv-42,D11,1158,635,1793
4,conv-42,D12,1245,795,2040
4,conv-42,D13,1295,625,1920
4,conv-42,D14,1338,738,2076
4,conv-42,D15,1173,556,1729
4,conv-42,D16,1024,695,1719
4,conv-42,D17,1317,913,2230
4,conv-42,D18,1203,637,1840
4,conv-42,D19,1331,836,2167
4,conv-42,D20,1240,790,2030
4,conv-42,D21,1387,937,2324
4,conv-42,D22,1393,920,2313
4,conv-42,D23,1671,765,2436
4,conv-42,D24,1167,725,1892
4,conv-42,D25,1465,725,2190
4,conv-42,D26,1377,965,2342
4,conv-42,D27,1949,911,2860
4,conv-42,D28,1745,942,2687
4,conv-42,D29,1113,697,1810
5,conv-43,D1,1167,838,2005
5,conv-43,D2,1319,640,1959
5,conv-43,D3,1698,896,2594
5,conv-43,D4,1013,603,1616
5,conv-43,D5,1285,509,1794
5,conv-43,D6,1605,860,2465
5,conv-43,D7,1314,561,1875
5,conv-43,D8,2005,894,2899
5,conv-43,D9,1152,689,1841
5,conv-43,D10,1139,755,1894
5,conv-43,D11,1647,904,2551
5,conv-43,D12,1566,849,2415
5,conv-43,D13,1266,613,1879
5,conv-43,D14,1362,693,2055
5,conv-43,D15,1995,1318,3313
5,conv-43,D16,1381,555,1936
5,conv-43,D17,1248,780,2028
5,conv-43,D18,1034,533,1567
5,conv-43,D19,1714,858,2572
5,conv-43,D20,1866,760,2626
5,conv-43,D21,1356,745,2101
5,conv-43,D22,1300,788,2088
5,conv-43,D23,1183,640,1823
5,conv-43,D24,1203,533,1736
5,conv-43,D25,1174,540,1714
5,conv-43,D26,1821,980,2801
5,conv-43,D27,1931,1066,2997
5,conv-43,D28,1103,583,1686
5,conv-43,D29,1115,470,1585
6,conv-44,D1,1211,649,1860
6,conv-44,D2,1358,769,2127
6,conv-44,D3,1576,955,2531
6,conv-44,D4,1615,815,2430
6,conv-44,D5,1277,552,1829
6,conv-44,D6,1195,598,1793
6,conv-44,D7,1066,575,1641
6,conv-44,D8,1550,951,2501
6,conv-44,D9,1463,715,2178
6,conv-44,D10,1785,907,2692
6,conv-44,D11,1742,646,2388
6,conv-44,D12,1182,759,1941
6,conv-44,D13,1384,687,2071
6,conv-44,D14,1604,780,2384
6,conv-44,D15,1255,871,2126
6,conv-44,D16,1235,747,1982
6,conv-44,D17,1290,532,1822
6,conv-44,D18,1398,778,2176
6,conv-44,D19,1585,825,2410
6,conv-44,D20,1881,735,2616
6,conv-44,D21,1119,449,1568
6,conv-44,D22,1269,651,1920
6,conv-44,D23,1630,930,2560
6,conv-44,D24,1248,822,2070
6,conv-44,D25,1217,711,1928
6,conv-44,D26,1956,805,2761
6,conv-44,D27,1281,890,2171
6,conv-44,D28,1343,778,2121
7,conv-47,D1,1830,1271,3101
7,conv-47,D2,1320,801,2121
7,conv-47,D3,1359,837,2196
7,conv-47,D4,1370,632,2002
7,conv-47,D5,1092,693,1785
7,conv-47,D6,1361,730,2091
7,conv-47,D7,1282,641,1923
7,conv-47,D8,1801,860,2661
7,conv-47,D9,1346,825,2171
7,conv-47,D10,1081,538,1619
7,conv-47,D11,1301,647,1948
7,conv-47,D12,1140,682,1822
7,conv-47,D13,1204,603,1807
7,conv-47,D14,1647,942,2589
7,conv-47,D15,1242,764,2006
7,conv-47,D16,1120,736,1856
7,conv-47,D17,1739,938,2677
7,conv-47,D18,1224,835,2059
7,conv-47,D19,1107,492,1599
7,conv-47,D20,1532,1078,2610
7,conv-47,D21,1159,765,1924
7,conv-47,D22,1297,812,2109
7,conv-47,D23,1334,696,2030
7,conv-47,D24,1305,861,2166
7,conv-47,D25,1487,771,2258
7,conv-47,D26,1128,829,1957
7,conv-47,D27,1044,393,1437
7,conv-47,D28,1707,841,2548
7,conv-47,D29,1143,500,1643
7,conv-47,D30,1153,625,1778
8,conv-48,D1,1088,934,2022
8,conv-48,D2,1458,1110,2568
8,conv-48,D3,985,413,1398
8,conv-48,D4,2124,1028,3152
8,conv-48,D5,1133,666,1799
8,conv-48,D6,1040,594,1634
8,conv-48,D7,1343,868,2211
8,conv-48,D8,1246,920,2166
8,conv-48,D9,1127,564,1691
8,conv-48,D10,1346,769,2115
8,conv-48,D11,1083,778,1861
8,conv-48,D12,1120,719,1839
8,conv-48,D13,1350,635,1985
8,conv-48,D14,1174,706,1880
8,conv-48,D15,1932,945,2877
8,conv-48,D16,1248,645,1893
8,conv-48,D17,1015,754,1769
8,conv-48,D18,1133,619,1752
8,conv-48,D19,1539,1075,2614
8,conv-48,D20,1298,904,2202
8,conv-48,D21,1205,567,1772
8,conv-48,D22,1764,959,2723
8,conv-48,D23,1479,959,2438
8,conv-48,D24,1153,928,2081
8,conv-48,D25,1030,782,1812
8,conv-48,D26,1147,580,1727
8,conv-48,D27,1130,707,1837
8,conv-48,D28,1476,732,2208
8,conv-48,D29,1588,1434,3022
8,conv-48,D30,1248,688,1936
9,conv-49,D1,1170,524,1694
9,conv-49,D2,1249,643,1892
9,conv-49,D3,1221,651,1872
9,conv-49,D4,1219,663,1882
9,conv-49,D5,1366,634,2000
9,conv-49,D6,1309,628,1937
9,conv-49,D7,1264,817,2081
9,conv-49,D8,1631,968,2599
9,conv-49,D9,1357,937,2294
9,conv-49,D10,1157,641,1798
9,conv-49,D11,1418,781,2199
9,conv-49,D12,1185,547,1732
9,conv-49,D13,1126,541,1667
9,conv-49,D14,1273,793,2066
9,conv-49,D15,1108,627,1735
9,conv-49,D16,1554,708,2262
9,conv-49,D17,1437,787,2224
9,conv-49,D18,1112,388,1500
9,conv-49,D19,1170,535,1705
9,conv-49,D20,1170,606,1776
9,conv-49,D21,1376,626,2002
9,conv-49,D22,1257,751,2008
9,conv-49,D23,1628,914,2542
9,conv-49,D24,1505,950,2455
9,conv-49,D25,1347,927,2274
10,conv-50,D1,1179,694,1873
10,conv-50,D2,1305,497,1802
10,conv-50,D3,1323,814,2137
10,conv-50,D4,1538,743,2281
10,conv-50,D5,1275,743,2018
10,conv-50,D6,1229,622,1851
10,conv-50,D7,1387,776,2163
10,conv-50,D8,1204,683,1887
10,conv-50,D9,1314,586,1900
10,conv-50,D10,1304,757,2061
10,conv-50,D11,1291,850,2141
10,conv-50,D12,1276,868,2144
10,conv-50,D13,1273,605,1878
10,conv-50,D14,1207,666,1873
10,conv-50,D15,1142,786,1928
10,conv-50,D16,1410,635,2045
10,conv-50,D17,970,498,1468
10,conv-50,D18,1229,777,2006
10,conv-50,D19,1142,528,1670
10,conv-50,D20,1254,536,1790
10,conv-50,D21,1353,772,2125
10,conv-50,D22,1187,722,1909
10,conv-50,D23,1470,724,2194
10,conv-50,D24,1537,705,2242
10,conv-50,D25,1826,978,2804
10,conv-50,D26,1263,778,2041
10,conv-50,D27,1117,605,1722
10,conv-50,D28,2049,1005,3054
10,conv-50,D29,1324,624,1948
10,conv-50,D30,1487,806,2293
