record_idx,sample_id,session,prompt_tokens,completion_tokens,total_tokens
1,conv-26,D1,1067,756,1823
1,conv-26,D2,1262,649,1911
1,conv-26,D3,1683,907,2590
1,conv-26,D4,1355,770,2125
1,conv-26,D5,1171,546,1717
1,conv-26,D6,1172,937,2109
1,conv-26,D7,1591,894,2485
1,conv-26,D8,1852,1097,2949
1,conv-26,D9,1145,698,1843
1,conv-26,D10,1507,807,2314
1,conv-26,D11,1287,801,2088
1,conv-26,D12,1346,716,2062
1,conv-26,D13,1306,715,2021
1,conv-26,D14,1860,918,2778
1,conv-26,D15,1579,836,2415
1,conv-26,D16,1526,778,2304
1,conv-26,D17,1642,1074,2716
1,conv-26,D18,1370,756,2126
1,conv-26,D19,1209,824,2033
2,conv-30,D1,1421,925,2346
2,conv-30,D2,1246,770,2016
2,conv-30,D3,1160,663,1823
2,conv-30,D4,1195,682,1877
2,conv-30,D5,1625,799,2424
2,conv-30,D6,1208,683,1891
2,conv-30,D7,1127,461,1588
2,conv-30,D8,1515,867,2382
2,conv-30,D9,1155,727,1882
2,conv-30,D10,1204,715,1919
2,conv-30,D11,1306,758,2064
2,conv-30,D12,1155,859,2014
2,conv-30,D13,1217,772,1989
2,conv-30,D14,1245,767,2012
2,conv-30,D15,1177,555,1732
2,conv-30,D16,1070,669,1739
2,conv-30,D17,1247,551,1798
2,conv-30,D18,1482,917,2399
2,conv-30,D19,998,500,1498
3,conv-41,D1,1073,682,1755
3,conv-41,D2,1608,759,2367
3,conv-41,D3,1246,547,1793
3,conv-41,D4,1385,680,2065
3,conv-41,D5,1312,734,2046
3,conv-41,D6,1397,675,2072
3,conv-41,D7,1215,468,1683
3,conv-41,D8,1533,752,2285
3,conv-41,D9,1203,524,1727
3,conv-41,D10,1436,757,2193
3,conv-41,D11,1409,622,2031
3,conv-41,D12,1444,483,1927
3,conv-41,D13,1899,934,2833
3,conv-41,D14,1535,950,2485
3,conv-41,D15,1278,568,1846
3,conv-41,D16,1196,615,1811
3,conv-41,D17,1204,551,1755
3,conv-41,D18,1425,680,2105
3,conv-41,D19,1713,936,2649
3,conv-41,D20,1287,497,1784
3,conv-41,D21,1476,945,2421
3,conv-41,D22,1421,697,2118
3,conv-41,D23,1110,401,1511
3,conv-41,D24,1188,659,1847
3,conv-41,D25,1258,612,1870
3,conv-41,D26,1263,811,2074
3,conv-41,D27,1139,648,1787
3,conv-41,D28,1224,378,1602
3,conv-41,D29,1297,478,1775
3,conv-41,D30,1457,623,2080
4,conv-42,D1,1148,851,1999
4,conv-42,D2,1485,1033,2518
4,conv-42,D3,1314,788,2102
4,conv-42,D4,1153,655,1808
4,conv-42,D5,1347,549,1896
4,conv-42,D6,1030,463,1493
4,conv-42,D7,932,376,1308
4,conv-42,D8,1321,645,1966
4,conv-42,D9,1312,782,2094
4,conv-42,D10,1148,827,1975
4,conv-42,D11,1158,644,1802
4,conv-42,D12,1245,799,2044
4,conv-42,D13,1295,548,1843
4,conv-42,D14,1338,836,2174
4,conv-42,D15,1173,556,1729
4,conv-42,D16,1024,696,1720
4,conv-42,D17,1317,841,2158
4,conv-42,D18,1203,720,1923
4,conv-42,D19,1331,910,2241
4,conv-42,D20,1240,942,2182
4,conv-42,D21,1387,937,2324
4,conv-42,D22,1393,928,2321
4,conv-42,D23,1671,768,2439
4,conv-42,D24,1167,726,1893
4,conv-42,D25,1465,725,2190
4,conv-42,D26,1377,806,2183
4,conv-42,D27,1949,1034,2983
4,conv-42,D28,1745,851,2596
4,conv-42,D29,1113,703,1816
5,conv-43,D1,1167,836,2003
5,conv-43,D2,1319,646,1965
5,conv-43,D3,1698,899,2597
5,conv-43,D4,1013,603,1616
5,conv-43,D5,1285,501,1786
5,conv-43,D6,1605,864,2469
5,conv-43,D7,1314,653,1967
5,conv-43,D8,2005,1037,3042
5,conv-43,D9,1152,711,1863
5,conv-43,D10,1139,751,1890
5,conv-43,D11,1647,820,2467
5,conv-43,D12,1566,824,2390
5,conv-43,D13,1266,525,1791
5,conv-43,D14,1362,598,1960
5,conv-43,D15,1995,1137,3132
5,conv-43,D16,1381,555,1936
5,conv-43,D17,1248,769,2017
5,conv-43,D18,1034,550,1584
5,conv-43,D19,1714,864,2578
5,conv-43,D20,1866,837,2703
5,conv-43,D21,1356,727,2083
5,conv-43,D22,1300,786,2086
5,conv-43,D23,1183,561,1744
5,conv-43,D24,1203,528,1731
5,conv-43,D25,1174,550,1724
5,conv-43,D26,1821,969,2790
5,conv-43,D27,1931,988,2919
5,conv-43,D28,1103,583,1686
5,conv-43,D29,1115,463,1578
6,conv-44,D1,1211,565,1776
6,conv-44,D2,1358,844,2202
6,conv-44,D3,1576,820,2396
6,conv-44,D4,1615,822,2437
6,conv-44,D5,1277,622,1899
6,conv-44,D6,1195,602,1797
6,conv-44,D7,1066,558,1624
6,conv-44,D8,1550,789,2339
6,conv-44,D9,1463,718,2181
6,conv-44,D10,1785,918,2703
6,conv-44,D11,1742,723,2465
6,conv-44,D12,1182,763,1945
6,conv-44,D13,1384,670,2054
6,conv-44,D14,1604,692,2296
6,conv-44,D15,1255,784,2039
6,conv-44,D16,1235,673,1908
6,conv-44,D17,1290,535,1825
6,conv-44,D18,1398,785,2183
6,conv-44,D19,1585,825,2410
6,conv-44,D20,1881,790,2671
6,conv-44,D21,1119,429,1548
6,conv-44,D22,1269,727,1996
6,conv-44,D23,1630,931,2561
6,conv-44,D24,1248,832,2080
6,conv-44,D25,1217,718,1935
6,conv-44,D26,1956,835,2791
6,conv-44,D27,1281,855,2136
6,conv-44,D28,1343,779,2122
7,conv-47,D1,1830,1258,3088
7,conv-47,D2,1320,799,2119
7,conv-47,D3,1359,796,2155
7,conv-47,D4,1370,631,2001
7,conv-47,D5,1092,715,1807
7,conv-47,D6,1361,723,2084
7,conv-47,D7,1282,660,1942
7,conv-47,D8,1801,863,2664
7,conv-47,D9,1346,852,2198
7,conv-47,D10,1081,464,1545
7,conv-47,D11,1301,649,1950
7,conv-47,D12,1140,672,1812
7,conv-47,D13,1204,599,1803
7,conv-47,D14,1647,926,2573
7,conv-47,D15,1242,638,1880
7,conv-47,D16,1120,807,1927
7,conv-47,D17,1739,958,2697
7,conv-47,D18,1224,775,1999
7,conv-47,D19,1107,570,1677
7,conv-47,D20,1532,915,2447
7,conv-47,D21,1159,546,1705
7,conv-47,D22,1297,805,2102
7,conv-47,D23,1334,696,2030
7,conv-47,D24,1305,877,2182
7,conv-47,D25,1487,879,2366
7,conv-47,D26,1128,742,1870
7,conv-47,D27,1044,396,1440
7,conv-47,D28,1707,765,2472
7,conv-47,D29,1143,742,1885
7,conv-47,D30,1153,542,1695
8,conv-48,D1,1088,934,2022
8,conv-48,D2,1458,1119,2577
8,conv-48,D3,985,501,1486
8,conv-48,D4,2124,1030,3154
8,conv-48,D5,1133,655,1788
8,conv-48,D6,1040,570,1610
8,conv-48,D7,1343,866,2209
8,conv-48,D8,1246,781,2027
8,conv-48,D9,1127,548,1675
8,conv-48,D10,1346,749,2095
8,conv-48,D11,1083,735,1818
8,conv-48,D12,1120,716,1836
8,conv-48,D13,1350,859,2209
8,conv-48,D14,1174,706,1880
8,conv-48,D15,1932,937,2869
8,conv-48,D16,1248,708,1956
8,conv-48,D17,1015,739,1754
8,conv-48,D18,1133,550,1683
8,conv-48,D19,1539,970,2509
8,conv-48,D20,1298,902,2200
8,conv-48,D21,1205,648,1853
8,conv-48,D22,1764,1021,2785
8,conv-48,D23,1479,964,2443
8,conv-48,D24,1153,924,2077
8,conv-48,D25,1030,706,1736
8,conv-48,D26,1147,657,1804
8,conv-48,D27,1130,721,1851
8,conv-48,D28,1476,584,2060
8,conv-48,D29,1588,1220,2808
8,conv-48,D30,1248,738,1986
9,conv-49,D1,1170,524,1694
9,conv-49,D2,1249,636,1885
9,conv-49,D3,1221,652,1873
9,conv-49,D4,1219,716,1935
9,conv-49,D5,1366,613,1979
9,conv-49,D6,1309,651,1960
9,conv-49,D7,1264,726,1990
9,conv-49,D8,1631,1059,2690
9,conv-49,D9,1357,940,2297
9,conv-49,D10,1157,641,1798
9,conv-49,D11,1418,864,2282
9,conv-49,D12,1185,634,1819
9,conv-49,D13,1126,544,1670
9,conv-49,D14,1273,800,2073
9,conv-49,D15,1108,544,1652
9,conv-49,D16,1554,717,2271
9,conv-49,D17,1437,785,2222
9,conv-49,D18,1112,388,1500
9,conv-49,D19,1170,538,1708
9,conv-49,D20,1170,470,1640
9,conv-49,D21,1376,693,2069
9,conv-49,D22,1257,586,1843
9,conv-49,D23,1628,909,2537
9,conv-49,D24,1505,799,2304
9,conv-49,D25,1347,923,2270
10,conv-50,D1,1179,687,1866
10,conv-50,D2,1305,412,1717
10,conv-50,D3,1323,811,2134
10,conv-50,D4,1538,675,2213
10,conv-50,D5,1275,743,2018
10,conv-50,D6,1229,542,1771
10,conv-50,D7,1387,716,2103
10,conv-50,D8,1204,764,1968
10,conv-50,D9,1314,649,1963
10,conv-50,D10,1304,683,1987
10,conv-50,D11,1291,850,2141
10,conv-50,D12,1276,799,2075
10,conv-50,D13,1273,598,1871
10,conv-50,D14,1207,650,1857
10,conv-50,D15,1142,786,1928
10,conv-50,D16,1410,714,2124
10,conv-50,D17,970,492,1462
10,conv-50,D18,1229,693,1922
10,conv-50,D19,1142,594,1736
10,conv-50,D20,1254,539,1793
10,conv-50,D21,1353,703,2056
10,conv-50,D22,1187,719,1906
10,conv-50,D23,1470,718,2188
10,conv-50,D24,1537,695,2232
10,conv-50,D25,1826,942,2768
10,conv-50,D26,1263,635,1898
10,conv-50,D27,1117,602,1719
10,conv-50,D28,2049,861,2910
10,conv-50,D29,1324,628,1952
10,conv-50,D30,1487,821,2308
